店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
新宿焼肉 BULLS,050-5488-7296,,東京都,新宿区西新宿,1-4-1,プリンスビル4F,https://gfy8405.gorp.jp/,TRUE
NIKKO KANAYA HOTEL CRAFT GRILL,050-5486-1574,,東京都,新宿区新宿,3-32-6,B1,https://www.dd-holdings.jp/shops/craftgrill/shinkyuku#/,TRUE
炭旬本店,050-5492-3978,,東京都,新宿区西新宿,1-26-2,新宿野村ビルB2,https://robataya-ginmasa.jp/shinjyuku/,TRUE
星空の中へ,050-5485-6423,hoshizora@diamond-dining.com,東京都,新宿区西新宿,1-26-2,新宿野村ビル50F,https://www.dd-holdings.jp/shops/hosizoranonakahe/shinjyuku#/,TRUE
北海寿司と天ぷら すし山 新宿,050-5487-7480,,東京都,新宿区歌舞伎町,1-16-3,セレサ陽栄新宿ビル6F,https://g405615.gorp.jp/,TRUE
スンガリー 新宿三丁目店,050-5485-9727,info@sungari.jp,東京都,新宿区新宿,3-21-6,新宿龍生堂ビルB1,http://www.sungari.jp/,FALSE
神戸牛取扱店 焼肉 もとやま 新宿店,050-5485-2130,,東京都,新宿区西新宿,7-10-12,ダイハンビルデンス2F,https://www.yakiniku-motoyama.com/,TRUE
ヤキニクバル NO MEAT，NO LIFE．6x,050-5492-3434,,東京都,新宿区歌舞伎町,1-13-10,一草堂ビルB1,https://b457610.gorp.jp/,TRUE
日本酒と海鮮 痛風屋 新宿歌舞伎町店,050-5485-2899,,東京都,新宿区歌舞伎町,1-2-5,東陽ビル1F,https://gj03302.gorp.jp/,TRUE
居酒屋割烹 三三五五 新宿三丁目,050-5485-4494,,東京都,新宿区新宿,3-7-1,2F,https://www.3-3-5-5.com/,TRUE
和牛焼肉さかえ,050-5492-5232,,東京都,新宿区歌舞伎町,1-27-2,K's7ビル3F,https://ghk1300.gorp.jp/,TRUE
麓屋 京王プラザホテル,050-5487-0752,,東京都,新宿区西新宿,2-2-1,京王プラザホテル本館1F,https://www.fumotoya.com/,TRUE
鮨 ふくじゅ 新宿店,03-6279-3153,,東京都,新宿区西新宿,7-20-16,新宿ダイカンプラザシティ2ビル1F,https://gf11436.gorp.jp/,TRUE
スンガリー 新宿東口本店,050-5484-9752,info@sungari.jp,東京都,新宿区歌舞伎町,2-45-6,千代田ビルB1,http://www.sungari.jp/,FALSE
地鶏焼 とりや 新宿総本店,050-5487-9682,,東京都,新宿区西新宿,3-7-27,セントヒルズ西新宿B1,https://a214304.gorp.jp/,TRUE
鳥茂,050-5493-3137,,東京都,渋谷区代々木,2-6-5,,https://ge7j300.gorp.jp/,TRUE
串てんぷら 段々屋 新宿本店,050-5493-2687,,東京都,新宿区西新宿,1-14-2,,https://g348902.gorp.jp/,TRUE
代々木 ビストリア,050-5492-4605,,東京都,渋谷区代々木,1-43-2,メトロビル1F,,
ＧＲＥＥＮ ＳＰＯＴ,050-5485-2230,yoyogi@green-spot.jp,東京都,渋谷区代々木,1-21-12,ヤマノ25ビル1F,http://www.green-spot.jp/,FALSE
完全個室 旬彩 はなれ 新宿店,050-5485-9858,,東京都,新宿区歌舞伎町,1-3-7,,https://www.shinjukushunsai.com/,TRUE
グリルド エイジング・ビーフ TOKYO 新宿3丁目店,050-5486-4579,,東京都,新宿区新宿,3-5-4,レインボービレッジビル6F,https://agingbeef.jp/gab_tokyo,TRUE
かっぱ食堂,050-5493-4815,,東京都,新宿区新宿,5-12-16,,https://e263000.gorp.jp/,TRUE
海栗屋（うにや）新宿 雲丹専門店,050-5485-1345,,東京都,新宿区新宿,5-10-4,,http://www.wasyokutokyo.com/,FALSE
日本酒と季節料理 旬彩 新宿・歌舞伎町本店,050-5486-3867,,東京都,新宿区歌舞伎町,1-9-8,アサヒビル1F,https://www.shinjukushunsai.com/,TRUE
新宿・宴会・個室 銀座ライオン,050-5484-0406,,東京都,新宿区新宿,3-28-9,6F,https://www.ginzalion.jp/,TRUE
炉庵,050-5484-8773,,東京都,新宿区新宿,2-9-20,問川ビル1F,http://www.c16.biz/b0535/,FALSE
高庵 ＴＯＫＹＯ,050-5486-1172,jaguar@jnb.odn.ne.jp,東京都,新宿区新宿,3-3-7,酒井ビル2F,http://www.a-glass-of-sake.com/,FALSE
ダイナミックキッチン＆バー 響 新宿サザンタワー店,03-5333-5501,hibiki-shinjukusazan@dynac.co.jp,東京都,渋谷区代々木,2-2-1,小田急サザンタワー4F,https://www.dynacjapan.com/brands/hibiki/shops/shinjuku-southern/,TRUE
銀波－GINPA－ 新宿東口店,050-5494-5088,,東京都,新宿区新宿,3-37-12,新宿NOWAビル4F,https://sunroyalgroup.co.jp/,TRUE
音音 新宿センタービル店,050-5484-5126,,東京都,新宿区西新宿,1-25-1,新宿センタービル別館1～2F,https://xn--1cki4dyepb5c7109byvqwm7ha.com/,TRUE
和空間豪華完全個室×絶品焼鳥と厳選お鍋 ～炭火串焼き あんど～,050-5487-4834,,東京都,新宿区歌舞伎町,1-18-9,ワモール3F,https://gj4x800.gorp.jp/,TRUE
全席完全個室 和食肉割烹 彩・八馬 新宿店,050-5486-1425,,東京都,新宿区歌舞伎町,1-15-8,ウイングスビル5F,http://hachiuma-sousaku.com/meibutsu.html,FALSE
